
brokenNotRecord;2019-04-17 04:32;1;1;"You're quickly becoming a hero to me, Katie. I also greatly appreciated your "discussion" with Jamie Dimon about the financial well-being of an entry-level emp at JPMChase. You're speaking truth to power and I surely hope it has an impact over time.";;;
PotockaTeresa;2019-04-14 20:29;0;0;"I was an employee of JPMChase bank when Dimon became the CEO and he would visit our offices in the UK. He isn't a bad person. I am sure he would do something to help. I now work in the TV business. I would say that this portrayal is incorrect.";;;
MRamosDC;2019-04-13 06:32;0;0;"If Mimi was still there, she would've praised -- PRAISED-- JPMChase, Wells Fargo, and all the other companies of questionable management practices.";;;
Dude_LeSquat;2019-04-12 20:34;0;0;"Jamie Dimon couldn’t say it so I will. His employee needs to: a) pool her resources with others (i.e., roommates) to gain benefits of scale, or b) quit the low-paying job at JPMChase. Of course, that’s not as exciting as going after him on camera for his obscene income. https://twitter.com/ananavarro/status/1116433474158768133 …";;;
ecarlesi;2019-04-11 05:28;0;0;"Phishing attack against @ Chase : jpmchase dot co dot uk";;@;
BetsyOShea;2019-04-06 10:35;0;2;"The Republican tax cut added $2 TRILLION to the national debt. It was reckless & foolish to cut taxes during Econ expansion for the very richest Americans who were already doing great. JPMChase got $2.7 BILL Don’t blame democrats";;;
RussM;2019-04-04 00:47;0;0;"Cool. Now do Citigroup, JPMChase, BofA, S&P, Moody's, and Fitch. https://twitter.com/ewarren/status/1111379867344330753 …";;;
DigitalUsd;2019-04-03 23:09;0;2;"JPMorgan Chase # JPMChase # JPMCoin # blockchain # banking # financialserviceshttps://twitter.com/Forbes/status/1113403270142283776 …";;;# # # # #
hardballers2475;2019-04-02 02:03;0;0;"Nah...Maybe the JPMChase analyst but not Jim. @ jimcramer made the right call years ago and AAPL did not listen. Maybe this time on a healthcare purchase to capitalized on Apple Watch opps.";;@;
DigitalUsd;2019-03-28 02:20;0;0;"# Fintech - “There are hundreds of startups with a lot of brains and money working on various alternatives to traditional banking.” - Jamie Dimon, CEO JPMorgan Chase # JPMChase # blockchain # digitalassets # traditionalbanking # wednesdaythoughtspic.twitter.com/DWrUHVjFAw";;;# # # # # #
_sushiy;2019-03-26 02:55;0;0;"GSのライバルでもあるJPMChaseとかカードに強い会社が一番食らうと思う https://twitter.com/babie/status/1110253172725964800 …";;;
_sushiy;2019-03-26 01:37;0;0;"AndroidにはJPMChaseのVISAカードが出たりするのかしらｗ";;;
CharleyMa;2019-03-26 00:59;0;13;"Fun fact - at JPMChase my go-to resource for understanding our payments data was my colleague Herb Stranzl who unfortunately passed away a few years ago at around 70+ years of age -> was basically our human data-dictionary for payments data and my job was mostly translating https://twitter.com/jkwade/status/1110222160952467456 …";;;
PAY_Symposium;2019-03-20 19:53;0;0;"# PAY # JPMChase Ron Karpovich, Global Head of eCommerce at JPMORGAN Chase shares their perspective on how Blockchain technology makes moving money faster and cheaper contributing to the companies bottom line. # bank # fintech # pay # money # social # innovationhttps://apple.news/Al8dLlv8YQruzaGjf0gCDCw …";;;# # # # # # # #
MommyOragami;2019-03-12 22:15;0;0;"JPMCHASE board member mellodyhobson speaking to us. Hard Work + Bravery = Happiness # womenshistorymonth # ifthisisntniceidontknowwhatis # girlpower @Chase Tower https://www.instagram.com/p/Bu6UhrxHkdl/?utm_source=ig_twitter_share&igshid=xczixyw2a4qx …";;@Chase;# # #
sfrancisatx;2019-03-10 01:57;0;0;"Amazon healthcare - joint merger between AMZN, JPMCHASE and Berkshire.";;;
DeanKamath;2019-03-07 09:09;2;11;"Great day in DC presenting CUNY industry partnerships at the @ bizroundtable Workforce Partnership Initiative (WPI) convening- our TRELLIS Project with @ CCNY and work with @ IBM, @ jpmchase, and @ guardianlife. # TomorrowReady # technology";;@ @ @ @ @;# #
Maureen36178483;2019-03-06 20:38;0;0;"Because JPMChase knows that they will be held accountable for all the fraud/atrocities going on.";;;
RussM;2019-03-06 08:35;0;1;"BofA, Wells Fargo, JPMChase, CitiGroup, Morgan Stanley, S&P, Moody's, Fitch ... https://twitter.com/NormOrnstein/status/1103048972707479552 …";;;
MrK00001;2019-03-03 00:15;0;3;"http://web.archive.org/web/20171116121341/http://files.shareholder.com/downloads/ONE/0x0x556140/b666b7d7-8248-4573-9286-163042a4f64d/JPMC_2011_annual_report_corpdata_shareinfo.pdf … Rt. Hon. Tony Blair Chairman of the Council Quartet Representative and Former Prime Minister of Great Britain and Northern Ireland London, United Kingdom That's David Rockefeller's old job at the Rockefellers' JPMChase. http://web.archive.org/web/20110702101959/http://www.trilateral.org/go.cfm?do=Page.View&pid=21 …";;;
nedhorsted;2019-03-01 08:18;0;1;"JPMChase's recent news that they will play in installment loans is late, but smart. Affirm getting Walmart is huge, but fact is both JPM and Affirm will deny FAR more consumers than they approve. https://twitter.com/dionlisle/status/1101173942855712768 …";;;
AG_Hays;2019-02-27 21:36;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofALGoldman See # UKGDP DROP LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono Arron RU doing "Gold & diamond deals"? @ NCA_UKpic.twitter.com/bJC8w3ifU6";;@ @ @;# # #
AG_Hays;2019-02-27 21:28;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren Harvard,Uni Chicago,MIT,JPMChase,BofALGoldman See # UKGDP DROP LEAST%11 Or more Lux,FRA,BRU,AMS,NYC benefit of # UK flight Cui Bono Arron RU doing "Gold & diamond deals"? @ NCA_UKpic.twitter.com/a8QW42Uemi";;@ @ @;# # #
CharleyMa;2019-02-22 06:13;0;2;"Probably more due to requirements imposed by their FI’s aml/sanction screening processes vs actually Venmo. For ex when I was at jpmchase, sanction screening was literally just a list of keywords that got flagged for review/pause...";;;
CrYpToBChRiS;2019-02-16 03:06;0;0;"The only reason that JPM is getting so much hype is because everyone has heard of them. Ask 100 random ppl about Bitcoin or JPMChase more ppl will know Chase. But more ppl will now hear about Crypto. That is exciting!";;;
AG_Hays;2019-02-16 02:08;0;0;"# UK Bleeding @ Jacob_Rees_Mogg @ BorisJohnson KNOW # UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLordshttps://www.bloomberg.com/news/articles/2019-02-09/brexit-s-corporate-refugee-numbers-in-netherlands-set-to-swell …";;@ @;# # # # # # #
Jeff_Marsden;2019-02-16 00:27;0;2;"This is not a crypto play but it is smart use of some of the tech to solve real problems. Internal to JPMChase or not.";;;
AG_Hays;2019-02-16 00:00;0;0;"@ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono RUToryLords";;@ @;# # # # #
baqwas;2019-02-14 21:38;0;0;"https://tinyurl.com/y6zsndjm  A few months ago, # JamieDimon was warning about # cryptocurrency & now we learn that # JPMChase has a solution. # WallStreet truly speaks with a forked tongue. Didn't happen overnight?";;;# # # #
comversant;2019-02-12 18:31;0;0;"ABC (Amazon, Berkshire, JPMChase) Healthcare + Apple Health is good for companies bottom line and might finally solves US’s Decades old, Cost of Healthcare vs Value and Transparency of Healthcare crisis... think the annualized inflation of Healthcare is greater then educations. https://twitter.com/jimcramer/status/1095243588823339008 …";;;
_itscarlito;2019-02-07 22:28;0;0;"Let us not forget: JPMChase bought Bear Stearns for $2 a share (before a lawsuit brought that up to $10 to "defrauded" investors), got the crown jewel, 383 Madison, worth $1 Billion +, for free.";;;
ronverb56;2019-02-04 08:54;0;0;"Married to someone whose annual bonus disappeared. thank you, JPMChase.";;;
AG_Hays;2019-02-03 21:53;0;0;"All 50+,CrazyTown, # Brexit cooked up by Oligarchs @ Jacob_Rees_Mogg @ BorisJohnson KNOW UKGDP 2 COLLAPSE # UKBrethren NYs= # BrexitInsane Harvard,Uni Chicago,MIT,JPMChase,BofAL,Goldman Expect # UKGDP DROP # LEAST%11-Probably more Lux,FRA,BRU,AMS,NYC benefit of # UK fleeing biz Cui Bono ?";;@ @;# # # # # #
