
robmoorman;2017-11-17 17:22;0;0;"F*** this. Come and see my new cool stuff. # tesla # testlaroadster https://www.youtube.com/watch?v=Gd9JQAkcYak&t=440s …";;;# #
carsonmtech;2017-11-17 13:11;0;2;"Can't wait to see more on this as well # testlaroadster @ Teslahttps://twitter.com/Tesla/status/931388019830951936 …";;@;#
robmoorman;2017-11-17 17:22;0;0;"F*** this. Come and see my new cool stuff. # tesla # testlaroadster https://www.youtube.com/watch?v=Gd9JQAkcYak&t=440s …";;;# #
carsonmtech;2017-11-17 13:11;0;2;"Can't wait to see more on this as well # testlaroadster @ Teslahttps://twitter.com/Tesla/status/931388019830951936 …";;@;#
